COUNTRY,DT_REF,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FOG,RAIN,SNOW,HAIL,THUNDER,TORNADO
UKRAINE,2019-05-06,566.8780487804878,494.9756097560976,10079.958333333334,9849.96,66.02631578947368,66.4390243902439,101.48780487804878,205.28571428571428,632.780487804878,497.780487804878,24.52173896457838,"",1,1,0,0,1,0
LITHUANIA,2019-07-26,671.2222222222222,577.1111111111111,10168.2,10069.4,95.11111111111111,68.22222222222223,112.88888888888889,200.0,768.3333333333334,574.1111111111111,"","",0,1,0,0,0,0
PAKISTAN,2019-12-15,527.4722222222222,416.47222222222223,10206.761904761905,9429.3,25.61111111111111,19.0,42.75757575757576,"",610.1666666666666,455.30555555555554,43.57142857142857,"",1,1,0,0,0,0
CANADA,2019-01-08,78.04513888888889,17.27251461988304,10184.887918486173,9800.624125874127,111.89312977099236,77.63862559241706,140.92830188679244,255.89743589743588,176.93865740740742,-4.991898148148148,14.070336356440086,89.75,1,1,1,0,0,0
CONGO,2019-11-06,791.4615384615385,716.3846153846154,10091.0,9640.666666666666,59.61538461538461,29.76923076923077,71.15384615384616,"",875.3076923076923,716.8461538461538,4.0,"",0,1,0,0,1,0
NEW CALEDONIA,2019-12-17,790.25,701.0,10090.2,10026.0,109.5,92.14285714285714,131.42857142857142,225.66666666666666,867.0,736.8571428571429,11.0,"",0,1,0,0,0,0
TRINIDAD AND TOBAGO,2019-06-13,818.5,724.0,10147.0,10122.0,70.5,58.0,130.0,"",908.5,756.5,"","",0,1,0,0,0,0
BRITISH INDIAN OCEAN TERRITORY,2019-06-03,846.0,792.0,10089.0,"",62.0,35.0,60.0,"",941.0,810.0,"","",0,0,0,0,0,0
MAURITIUS,2019-02-06,822.5,762.6666666666666,10082.2,9624.0,85.16666666666667,92.66666666666667,151.16666666666666,321.0,870.5,778.3333333333334,16.8,"",0,1,0,0,0,0
GHANA,2019-02-01,888.6470588235294,701.9411764705883,10103.1875,"",69.58823529411765,37.6875,60.9375,"",957.4117647058823,813.6470588235294,"","",0,1,0,0,1,0
SPAIN,2019-06-02,718.5384615384615,576.6153846153846,10154.25,9561.2,79.41666666666667,82.38461538461539,148.30769230769232,126.0,796.0,636.7692307692307,"","",0,0,0,0,0,0
RUSSIA,2019-09-22,437.746887966805,354.85872576177286,10099.796296296296,9844.231467473524,166.56069364161849,60.20923520923521,94.15440115440116,258.1,529.4260027662517,339.6523545706371,8.878125010430812,13.318181818181818,1,1,1,1,1,0
SOLOMON ISLANDS,2019-01-25,842.6,782.6,10075.0,"",131.6,30.0,64.0,"",903.0,774.4,37.5,"",0,1,0,0,0,0
SWAZILAND,2019-12-23,735.2857142857143,633.5714285714286,"",9166.0,"",28.428571428571427,55.0,"",845.2857142857143,609.7142857142857,"","",0,0,0,0,0,0
MALAWI,2019-08-11,722.0,543.0,"","",60.0,72.0,120.0,"",788.0,581.0,"","",0,0,0,0,0,0
ANTARCTICA,2019-11-02,30.794117647058822,76.22857142857143,9909.976744186046,9062.838709677419,104.74074074074075,122.52380952380952,189.64406779661016,212.8,97.25,-25.91176470588235,22.166666666666668,164.8,1,1,1,0,1,0
EQUATORIAL GUINEA,2019-03-03,809.5,769.0,"","",59.0,42.0,105.0,"",878.0,770.0,"","",0,1,0,0,1,0
MARTINIQUE,2019-11-12,824.0,741.0,"","",72.0,92.0,159.0,"",880.0,750.0,9.0,"",0,1,0,0,0,0
BURMA,2019-05-12,909.8837209302326,730.953488372093,10057.0,"",41.604651162790695,20.0,34.04651162790697,216.0,1002.8139534883721,769.3953488372093,4.15,"",1,1,0,0,1,0
GUAM,2019-03-05,800.0,713.5,10128.666666666666,9980.5,100.0,120.33333333333333,163.0,215.0,847.3333333333334,760.0,"","",0,0,0,0,0,0
SENEGAL,2019-05-25,854.4166666666666,660.5833333333334,10105.7,10071.0,59.833333333333336,49.25,88.16666666666667,"",995.5833333333334,742.25,"","",0,0,0,0,1,0
LIBYA,2019-02-10,551.7777777777778,427.1666666666667,10262.222222222223,9945.0,71.70588235294117,49.111111111111114,99.17647058823529,"",643.6111111111111,449.6111111111111,98.0,"",0,0,0,0,0,0
PARAGUAY,2019-08-04,529.3,385.6,10282.15,10079.6,115.95,28.15,75.41176470588235,"",664.15,389.65,"","",0,0,0,0,0,0
BENIN,2019-06-08,802.5,738.6666666666666,10126.0,9849.166666666666,59.833333333333336,37.833333333333336,70.0,"",881.6666666666666,732.8333333333334,51.0,"",0,1,0,0,0,0
NORFOLK ISLAND,2019-03-01,716.0,"","","",62.0,147.0,210.0,311.0,752.0,680.0,"","",0,1,0,0,0,0
SLOVAKIA,2019-06-12,733.3225806451613,598.5806451612904,10131.823529411764,9535.96,201.7037037037037,71.51612903225806,124.45161290322581,212.75,830.8709677419355,616.741935483871,2.0,71.0,1,0,0,0,1,0
MIDWAY ISLANDS,2019-03-21,636.0,510.0,10230.0,10227.0,"",156.0,229.0,289.0,680.0,601.0,"","",0,0,0,0,0,0
EL SALVADOR,2019-06-10,851.6666666666666,753.3333333333334,"","",66.66666666666667,37.0,70.33333333333333,"",922.5,768.5,14.666667302449545,"",0,1,0,0,1,0
GEORGIA,2019-07-12,672.8461538461538,613.75,10066.142857142857,9560.444444444445,62.75,73.54545454545455,135.63636363636363,240.0,758.6923076923077,612.0769230769231,121.25,"",1,1,0,0,1,0
