COUNTRY,DT_REF,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FOG,RAIN,SNOW,HAIL,THUNDER,TORNADO
ITALY,2019-12-18,534.294964028777,495.58992805755395,10226.0,9634.851851851852,46.623931623931625,69.5,115.51181102362204,287.6521739130435,568.4014598540145,501.7536231884058,6.253731357517527,239.66666666666666,1,1,1,0,1,0
PAKISTAN,2019-08-03,867.921052631579,703.2894736842105,9962.055555555555,9199.25925925926,29.894736842105264,39.8421052631579,88.14285714285714,"",954.8421052631579,786.1052631578947,61.0,"",0,1,0,0,1,0
ECUADOR,2019-08-16,684.8823529411765,551.5294117647059,"","",64.94117647058823,64.5,114.25,"",759.3529411764706,604.8235294117648,"","",1,1,0,0,0,0
ARMENIA,2019-06-04,709.0,553.3333333333334,10104.4,8643.285714285714,162.91666666666666,55.25,119.75,289.0,880.0,578.6,11.0,"",0,1,0,0,1,0
SPAIN,2019-12-28,657.4615384615385,442.15384615384613,10216.5,9610.6,93.33333333333333,66.61538461538461,105.61538461538461,128.0,713.9230769230769,602.0769230769231,"","",0,0,0,0,0,0
SRI LANKA,2019-03-09,817.6,725.0,10124.29411764706,9848.315789473685,113.15,23.95,51.7,"",894.25,727.4,34.5,"",1,1,0,0,1,0
SYRIA,2019-03-22,589.8,469.8,10164.0,9451.0,79.2,54.666666666666664,116.66666666666667,"",708.4,476.8,"","",0,1,0,0,0,0
NEW ZEALAND,2019-07-12,509.1578947368421,466.92105263157896,10077.882352941177,9970.35294117647,96.81818181818181,103.39473684210526,167.8684210526316,265.0,561.7894736842105,433.3421052631579,17.17391304347826,"",0,1,0,0,1,0
PUERTO RICO,2019-01-11,765.6363636363636,687.8,10157.875,10158.0,97.66666666666667,24.363636363636363,94.0,"",824.8181818181819,713.0,"","",0,1,0,0,0,0
NEW ZEALAND,2019-01-22,659.1282051282051,545.8461538461538,10066.057142857142,9968.657142857142,94.31818181818181,149.84615384615384,215.2051282051282,311.0,730.4102564102565,561.7179487179487,19.555555131700302,"",0,0,0,0,0,0
LIBYA,2019-10-12,771.0555555555555,635.6111111111111,10177.5,9869.846153846154,72.16666666666667,80.55555555555556,130.94444444444446,"",852.6666666666666,677.3888888888889,16.0,"",1,0,0,0,0,0
JUAN DE NOVA ISLAND,2019-01-08,843.0,767.0,10083.0,10072.0,"",106.0,175.0,"",878.0,786.0,4.0,"",0,0,0,0,0,0
SRI LANKA,2019-05-12,832.125,752.6875,10087.0,9845.0,109.3125,36.1875,66.25,"",916.0,759.625,14.666666666666666,"",0,1,0,0,1,0
ANGUILLA,2019-12-28,798.0,721.5,10152.0,10110.0,163.0,91.0,115.5,"",839.5,724.0,50.0,"",0,1,0,0,0,0
CHAD,2019-01-05,806.25,384.8333333333333,10140.0,9850.5,63.333333333333336,67.0,96.0,"",913.375,640.125,"","",0,0,0,0,0,0
UZBEKISTAN,2019-08-13,754.1666666666666,447.0,10096.384615384615,9801.384615384615,97.04166666666667,83.82608695652173,161.30434782608697,225.25,862.6666666666666,640.0416666666666,"","",0,0,0,0,0,0
BURMA,2019-12-10,704.25,574.5227272727273,10139.7,"",41.25,12.272727272727273,29.214285714285715,"",820.75,545.0909090909091,0.0,"",1,0,0,0,0,0
SPAIN,2019-10-18,698.8461538461538,560.0769230769231,10192.75,9592.8,109.25,80.76923076923077,142.69230769230768,183.0,765.1538461538462,634.6923076923077,"","",0,1,0,0,0,0
BHUTAN,2019-10-31,598.0,364.0,"","",62.0,79.0,181.0,"",716.0,392.0,"","",0,0,0,0,0,0
BELIZE,2019-03-01,807.0,729.0,10156.0,"",119.0,71.0,99.0,"",842.0,752.0,4.0,"",0,1,0,0,0,0
ST. HELENA,2019-02-13,738.6666666666666,669.0,10114.0,9827.0,249.33333333333334,132.66666666666666,167.0,"",788.0,699.6666666666666,"","",1,1,0,0,0,0
SWAZILAND,2019-03-24,729.0,661.6666666666666,"",9368.0,62.0,49.166666666666664,112.4,"",803.6666666666666,682.1666666666666,1.0,"",0,0,0,0,0,0
GUINEA-BISSAU,2019-05-17,845.0,681.0,"","",61.0,55.0,130.0,"",914.0,734.0,"","",0,0,0,0,0,0
SLOVENIA,2019-02-23,303.8,60.529411764705884,10394.625,9721.454545454546,245.11764705882354,94.58823529411765,163.41176470588235,272.7647058823529,367.95,235.9,1.5,362.0,0,0,0,0,0,0
KYRGYZSTAN,2019-10-14,531.4444444444445,320.55555555555554,10250.75,8694.57142857143,169.0,57.0,116.55555555555556,252.5,688.8888888888889,391.6666666666667,"",20.0,0,1,0,0,0,0
