COUNTRY,DT_REF,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FOG,RAIN,SNOW,HAIL,THUNDER,TORNADO
SOMALIA,2019-06-21,860.3333333333334,687.0,"","",89.0,174.33333333333334,226.66666666666666,340.0,926.0,787.0,"","",0,0,0,0,0,0
INDONESIA,2019-11-01,810.4955752212389,738.5752212389381,10092.326923076924,10000.028846153846,50.07079646017699,36.26548672566372,83.07964601769912,"",892.0442477876106,743.1946902654868,"","",1,1,0,0,1,0
MACEDONIA,2019-10-02,664.5882352941177,523.7058823529412,10096.3,9493.461538461539,113.52941176470588,57.75,94.125,"",800.8235294117648,547.2941176470588,"","",0,0,0,0,0,0
UGANDA,2019-03-13,734.0,676.0,"","",60.0,72.0,200.0,"",788.0,662.0,20.0,"",0,1,0,0,1,0
TANZANIA,2019-06-16,719.7142857142857,578.6428571428571,10177.666666666666,9188.57142857143,156.78571428571428,61.57142857142857,137.15384615384616,"",819.1428571428571,623.0714285714286,"","",0,0,0,0,0,0
LAOS,2019-09-12,811.4117647058823,735.5882352941177,10094.363636363636,9552.4,55.705882352941174,30.666666666666668,52.4,"",880.0588235294117,724.5294117647059,40.23076864389273,"",1,1,0,0,1,0
OMAN,2019-06-06,937.5833333333334,635.8333333333334,10037.75,9728.375,59.25,72.33333333333333,128.41666666666666,"",1061.0833333333333,835.75,"","",0,1,0,0,0,0
SURINAME,2019-01-25,785.6666666666666,711.6666666666666,10147.0,"",90.33333333333333,60.0,153.33333333333334,"",841.6666666666666,740.0,1.5,"",0,1,0,0,0,0
ST. LUCIA,2019-07-22,837.0,754.5,10151.0,10143.0,103.5,116.5,139.5,"",890.5,763.5,14.0,"",0,1,0,0,0,0
BAHRAIN,2019-03-22,715.0,615.0,"","","",81.0,150.0,"",757.0,687.0,"","",0,0,0,0,0,0
JORDAN,2019-07-11,872.6666666666666,492.5,10034.4,9190.2,51.0,64.22222222222223,115.55555555555556,"",994.4444444444445,746.2222222222222,"","",0,0,0,0,0,0
ST. HELENA,2019-11-05,609.25,567.6666666666666,10182.666666666666,10006.666666666666,198.33333333333334,118.75,152.25,"",651.25,551.25,2.0,"",0,1,0,0,0,0
NETHERLANDS ANTILLES,2019-05-20,823.5,724.75,10142.5,10135.0,79.66666666666667,130.5,162.5,233.0,875.75,794.5,0.5,"",0,0,0,0,0,0
RWANDA,2019-05-21,705.75,629.0,"","",59.75,16.25,70.0,"",774.5,624.25,4.5,"",1,1,0,0,1,0
CENTRAL AFRICAN REPUBLIC,2019-05-15,891.0,716.0,"","",62.0,45.0,60.0,"",932.0,842.0,"","",0,0,0,0,0,0
MARSHALL ISLANDS,2019-11-17,830.0,760.6666666666666,10100.0,10097.0,125.66666666666667,114.66666666666667,163.0,"",879.0,797.0,36.0,"",0,1,0,0,0,0
UNITED KINGDOM,2019-10-30,432.0,390.0,10136.0,10195.0,"",88.0,150.5,"",486.5,395.5,2.0,"",0,0,0,0,0,0
AUSTRIA,2019-12-08,351.92424242424244,275.030303030303,10165.97619047619,9227.483333333334,161.51724137931035,41.603053435114504,77.65648854961832,319.4,439.92424242424244,284.9621212121212,0.10909090909090909,272.72727272727275,1,1,1,0,0,0
SLOVENIA,2019-01-02,314.25,202.1764705882353,10203.375,9547.818181818182,182.7058823529412,61.05882352941177,141.47058823529412,289.4,424.6,221.8,2.0,68.5,1,1,1,1,0,0
MICRONESIA,2019-04-17,828.8,760.8,10110.666666666666,10096.0,131.2,64.6,105.6,"",872.4,778.6,42.33333396911621,"",0,1,0,0,0,0
MICRONESIA,2019-02-19,822.3333333333334,759.8333333333334,10094.25,10090.333333333334,113.83333333333333,112.33333333333333,161.83333333333334,254.5,852.1666666666666,769.1666666666666,210.5,"",0,1,0,0,0,0
CAMEROON,2019-05-27,803.4,712.8,"","",56.5,57.8,92.2,"",863.6,737.6,"","",1,1,0,0,1,0
GUYANA,2019-10-02,819.0,762.5,10101.0,"",63.0,51.5,110.0,"",903.0,770.0,"","",0,1,0,0,1,0
